date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2010-03-31,S12000042,Older People Aged 65 and Older,All Sectors,1094,Dundee City,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,Local Authority/Health Board Sectors,132,Dundee City,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,Private Sector,876,Dundee City,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,86,Dundee City,2009/10
2010-03-31,S12000045,Older People Aged 65 and Older,All Sectors,563,East Dunbartonshire,2009/10
2010-03-31,S12000045,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,East Dunbartonshire,2009/10
2010-03-31,S12000045,Older People Aged 65 and Older,Private Sector,561,East Dunbartonshire,2009/10
2010-03-31,S12000045,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,2,East Dunbartonshire,2009/10
2010-03-31,S12000047,Older People Aged 65 and Older,All Sectors,2862,Fife,2009/10
2010-03-31,S12000047,Older People Aged 65 and Older,Local Authority/Health Board Sectors,354,Fife,2009/10
2010-03-31,S12000047,Older People Aged 65 and Older,Private Sector,2383,Fife,2009/10
2010-03-31,S12000047,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,125,Fife,2009/10
2010-03-31,S12000048,Older People Aged 65 and Older,All Sectors,1568,Perth and Kinross,2009/10
2010-03-31,S12000048,Older People Aged 65 and Older,Local Authority/Health Board Sectors,120,Perth and Kinross,2009/10
2010-03-31,S12000048,Older People Aged 65 and Older,Private Sector,1224,Perth and Kinross,2009/10
2010-03-31,S12000048,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,224,Perth and Kinross,2009/10
2010-03-31,S12000049,Older People Aged 65 and Older,All Sectors,4332,Glasgow City,2009/10
2010-03-31,S12000049,Older People Aged 65 and Older,Local Authority/Health Board Sectors,609,Glasgow City,2009/10
2010-03-31,S12000049,Older People Aged 65 and Older,Private Sector,3318,Glasgow City,2009/10
2010-03-31,S12000049,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,405,Glasgow City,2009/10
2010-03-31,S12000050,Older People Aged 65 and Older,All Sectors,2120,North Lanarkshire,2009/10
2010-03-31,S12000050,Older People Aged 65 and Older,Local Authority/Health Board Sectors,260,North Lanarkshire,2009/10
2010-03-31,S12000050,Older People Aged 65 and Older,Private Sector,1860,North Lanarkshire,2009/10
2010-03-31,S12000050,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,North Lanarkshire,2009/10
2010-03-31,S92000003,Older People Aged 65 and Older,All Sectors,39150,Scotland,2009/10
2010-03-31,S92000003,Older People Aged 65 and Older,Local Authority/Health Board Sectors,5212,Scotland,2009/10
2010-03-31,S92000003,Older People Aged 65 and Older,Private Sector,29759,Scotland,2009/10
2010-03-31,S92000003,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,4179,Scotland,2009/10
2010-03-31,S12000005,Other Groups,All Sectors,0,Clackmannanshire,2009/10
2010-03-31,S12000006,Other Groups,All Sectors,5,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Other Groups,All Sectors,0,East Ayrshire,2009/10
2010-03-31,S12000010,Other Groups,All Sectors,0,East Lothian,2009/10
2010-03-31,S12000011,Other Groups,All Sectors,0,East Renfrewshire,2009/10
2010-03-31,S12000013,Other Groups,All Sectors,0,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Other Groups,All Sectors,0,Falkirk,2009/10
2010-03-31,S12000017,Other Groups,All Sectors,27,Highland,2009/10
2010-03-31,S12000018,Other Groups,All Sectors,0,Inverclyde,2009/10
2010-03-31,S12000019,Other Groups,All Sectors,0,Midlothian,2009/10
2010-03-31,S12000020,Other Groups,All Sectors,0,Moray,2009/10
2010-03-31,S12000021,Other Groups,All Sectors,6,North Ayrshire,2009/10
2010-03-31,S12000023,Other Groups,All Sectors,1,Orkney Islands,2009/10
2010-03-31,S12000026,Other Groups,All Sectors,0,Scottish Borders,2009/10
2010-03-31,S12000027,Other Groups,All Sectors,0,Shetland Islands,2009/10
2010-03-31,S12000028,Other Groups,All Sectors,0,South Ayrshire,2009/10
2010-03-31,S12000029,Other Groups,All Sectors,7,South Lanarkshire,2009/10
2010-03-31,S12000030,Other Groups,All Sectors,0,Stirling,2009/10
2010-03-31,S12000033,Other Groups,All Sectors,49,Aberdeen City,2009/10
2010-03-31,S12000034,Other Groups,All Sectors,0,Aberdeenshire,2009/10
2010-03-31,S12000035,Other Groups,All Sectors,44,Argyll and Bute,2009/10
2010-03-31,S12000036,Other Groups,All Sectors,20,City of Edinburgh,2009/10
2010-03-31,S12000038,Other Groups,All Sectors,0,Renfrewshire,2009/10
2010-03-31,S12000039,Other Groups,All Sectors,0,West Dunbartonshire,2009/10
2010-03-31,S12000040,Other Groups,All Sectors,0,West Lothian,2009/10
2010-03-31,S12000041,Other Groups,All Sectors,0,Angus,2009/10
2010-03-31,S12000042,Other Groups,All Sectors,0,Dundee City,2009/10
2010-03-31,S12000045,Other Groups,All Sectors,0,East Dunbartonshire,2009/10
2010-03-31,S12000047,Other Groups,All Sectors,14,Fife,2009/10
2010-03-31,S12000048,Other Groups,All Sectors,1,Perth and Kinross,2009/10
2010-03-31,S12000049,Other Groups,All Sectors,187,Glasgow City,2009/10
2010-03-31,S12000050,Other Groups,All Sectors,0,North Lanarkshire,2009/10
2010-03-31,S92000003,Other Groups,All Sectors,361,Scotland,2009/10
2010-03-31,S92000003,Other Groups,Local Authority/Health Board Sectors,15,Scotland,2009/10
2010-03-31,S92000003,Other Groups,Private Sector,7,Scotland,2009/10
2010-03-31,S92000003,Other Groups,Voluntary or Not for Profit Sector,339,Scotland,2009/10
2010-03-31,S12000005,Physical and Sensory Impairment,All Sectors,0,Clackmannanshire,2009/10
2010-03-31,S12000006,Physical and Sensory Impairment,All Sectors,5,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Physical and Sensory Impairment,All Sectors,10,East Ayrshire,2009/10
2010-03-31,S12000010,Physical and Sensory Impairment,All Sectors,20,East Lothian,2009/10
2010-03-31,S12000011,Physical and Sensory Impairment,All Sectors,0,East Renfrewshire,2009/10
2010-03-31,S12000013,Physical and Sensory Impairment,All Sectors,0,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Physical and Sensory Impairment,All Sectors,0,Falkirk,2009/10
2010-03-31,S12000017,Physical and Sensory Impairment,All Sectors,74,Highland,2009/10
2010-03-31,S12000018,Physical and Sensory Impairment,All Sectors,73,Inverclyde,2009/10
2010-03-31,S12000019,Physical and Sensory Impairment,All Sectors,0,Midlothian,2009/10
2010-03-31,S12000020,Physical and Sensory Impairment,All Sectors,4,Moray,2009/10
2010-03-31,S12000021,Physical and Sensory Impairment,All Sectors,36,North Ayrshire,2009/10
2010-03-31,S12000023,Physical and Sensory Impairment,All Sectors,1,Orkney Islands,2009/10
2010-03-31,S12000026,Physical and Sensory Impairment,All Sectors,0,Scottish Borders,2009/10
2010-03-31,S12000027,Physical and Sensory Impairment,All Sectors,0,Shetland Islands,2009/10
2010-03-31,S12000028,Physical and Sensory Impairment,All Sectors,0,South Ayrshire,2009/10
2010-03-31,S12000029,Physical and Sensory Impairment,All Sectors,25,South Lanarkshire,2009/10
2010-03-31,S12000030,Physical and Sensory Impairment,All Sectors,17,Stirling,2009/10
2010-03-31,S12000033,Physical and Sensory Impairment,All Sectors,62,Aberdeen City,2009/10
2010-03-31,S12000034,Physical and Sensory Impairment,All Sectors,10,Aberdeenshire,2009/10
2010-03-31,S12000035,Physical and Sensory Impairment,All Sectors,0,Argyll and Bute,2009/10
2010-03-31,S12000036,Physical and Sensory Impairment,All Sectors,44,City of Edinburgh,2009/10
2010-03-31,S12000038,Physical and Sensory Impairment,All Sectors,20,Renfrewshire,2009/10
2010-03-31,S12000039,Physical and Sensory Impairment,All Sectors,0,West Dunbartonshire,2009/10
2010-03-31,S12000040,Physical and Sensory Impairment,All Sectors,12,West Lothian,2009/10
2010-03-31,S12000041,Physical and Sensory Impairment,All Sectors,0,Angus,2009/10
2010-03-31,S12000042,Physical and Sensory Impairment,All Sectors,24,Dundee City,2009/10
2010-03-31,S12000045,Physical and Sensory Impairment,All Sectors,0,East Dunbartonshire,2009/10
2010-03-31,S12000047,Physical and Sensory Impairment,All Sectors,17,Fife,2009/10
2010-03-31,S12000048,Physical and Sensory Impairment,All Sectors,96,Perth and Kinross,2009/10
2010-03-31,S12000049,Physical and Sensory Impairment,All Sectors,71,Glasgow City,2009/10
2010-03-31,S12000050,Physical and Sensory Impairment,All Sectors,0,North Lanarkshire,2009/10
2010-03-31,S92000003,Physical and Sensory Impairment,All Sectors,621,Scotland,2009/10
2010-03-31,S92000003,Physical and Sensory Impairment,Local Authority/Health Board Sectors,27,Scotland,2009/10
2010-03-31,S92000003,Physical and Sensory Impairment,Private Sector,130,Scotland,2009/10
2010-03-31,S92000003,Physical and Sensory Impairment,Voluntary or Not for Profit Sector,464,Scotland,2009/10
2011-03-31,S12000005,All Adults,All Sectors,321,Clackmannanshire,2010/11
2011-03-31,S12000005,All Adults,Local Authority/Health Board Sectors,52,Clackmannanshire,2010/11
2011-03-31,S12000005,All Adults,Private Sector,217,Clackmannanshire,2010/11
2011-03-31,S12000005,All Adults,Voluntary or Not for Profit Sector,52,Clackmannanshire,2010/11
2011-03-31,S12000006,All Adults,All Sectors,1277,Dumfries and Galloway,2010/11
2011-03-31,S12000006,All Adults,Local Authority/Health Board Sectors,13,Dumfries and Galloway,2010/11
2011-03-31,S12000006,All Adults,Private Sector,964,Dumfries and Galloway,2010/11
2011-03-31,S12000006,All Adults,Voluntary or Not for Profit Sector,300,Dumfries and Galloway,2010/11
2011-03-31,S12000008,All Adults,All Sectors,1003,East Ayrshire,2010/11
2011-03-31,S12000008,All Adults,Local Authority/Health Board Sectors,20,East Ayrshire,2010/11
2011-03-31,S12000008,All Adults,Private Sector,983,East Ayrshire,2010/11
2011-03-31,S12000008,All Adults,Voluntary or Not for Profit Sector,0,East Ayrshire,2010/11
2011-03-31,S12000010,All Adults,All Sectors,684,East Lothian,2010/11
2011-03-31,S12000010,All Adults,Local Authority/Health Board Sectors,148,East Lothian,2010/11
2011-03-31,S12000010,All Adults,Private Sector,473,East Lothian,2010/11
2011-03-31,S12000010,All Adults,Voluntary or Not for Profit Sector,63,East Lothian,2010/11
2011-03-31,S12000011,All Adults,All Sectors,633,East Renfrewshire,2010/11
2011-03-31,S12000011,All Adults,Local Authority/Health Board Sectors,34,East Renfrewshire,2010/11
2011-03-31,S12000011,All Adults,Private Sector,392,East Renfrewshire,2010/11
2011-03-31,S12000011,All Adults,Voluntary or Not for Profit Sector,207,East Renfrewshire,2010/11
2011-03-31,S12000013,All Adults,All Sectors,219,Na h-Eileanan Siar,2010/11
2011-03-31,S12000013,All Adults,Local Authority/Health Board Sectors,142,Na h-Eileanan Siar,2010/11
2011-03-31,S12000013,All Adults,Private Sector,40,Na h-Eileanan Siar,2010/11
2011-03-31,S12000013,All Adults,Voluntary or Not for Profit Sector,37,Na h-Eileanan Siar,2010/11
2011-03-31,S12000014,All Adults,All Sectors,1126,Falkirk,2010/11
2011-03-31,S12000014,All Adults,Local Authority/Health Board Sectors,184,Falkirk,2010/11
2011-03-31,S12000014,All Adults,Private Sector,870,Falkirk,2010/11
2011-03-31,S12000014,All Adults,Voluntary or Not for Profit Sector,72,Falkirk,2010/11
2011-03-31,S12000017,All Adults,All Sectors,2173,Highland,2010/11
2011-03-31,S12000017,All Adults,Local Authority/Health Board Sectors,280,Highland,2010/11
2011-03-31,S12000017,All Adults,Private Sector,1610,Highland,2010/11
2011-03-31,S12000017,All Adults,Voluntary or Not for Profit Sector,283,Highland,2010/11
2011-03-31,S12000018,All Adults,All Sectors,898,Inverclyde,2010/11
2011-03-31,S12000018,All Adults,Local Authority/Health Board Sectors,3,Inverclyde,2010/11
2011-03-31,S12000018,All Adults,Private Sector,577,Inverclyde,2010/11
2011-03-31,S12000018,All Adults,Voluntary or Not for Profit Sector,318,Inverclyde,2010/11
2011-03-31,S12000019,All Adults,All Sectors,673,Midlothian,2010/11
2011-03-31,S12000019,All Adults,Local Authority/Health Board Sectors,145,Midlothian,2010/11
2011-03-31,S12000019,All Adults,Private Sector,411,Midlothian,2010/11
2011-03-31,S12000019,All Adults,Voluntary or Not for Profit Sector,117,Midlothian,2010/11
2011-03-31,S12000020,All Adults,All Sectors,645,Moray,2010/11
2011-03-31,S12000020,All Adults,Local Authority/Health Board Sectors,6,Moray,2010/11
2011-03-31,S12000020,All Adults,Private Sector,549,Moray,2010/11
2011-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,90,Moray,2010/11
2011-03-31,S12000021,All Adults,All Sectors,1331,North Ayrshire,2010/11
2011-03-31,S12000021,All Adults,Local Authority/Health Board Sectors,48,North Ayrshire,2010/11
2011-03-31,S12000021,All Adults,Private Sector,1161,North Ayrshire,2010/11
2011-03-31,S12000021,All Adults,Voluntary or Not for Profit Sector,122,North Ayrshire,2010/11
2011-03-31,S12000023,All Adults,All Sectors,133,Orkney Islands,2010/11
2011-03-31,S12000023,All Adults,Local Authority/Health Board Sectors,112,Orkney Islands,2010/11
2011-03-31,S12000023,All Adults,Private Sector,0,Orkney Islands,2010/11
2011-03-31,S12000023,All Adults,Voluntary or Not for Profit Sector,21,Orkney Islands,2010/11
2011-03-31,S12000026,All Adults,All Sectors,874,Scottish Borders,2010/11
2011-03-31,S12000026,All Adults,Local Authority/Health Board Sectors,202,Scottish Borders,2010/11
2011-03-31,S12000026,All Adults,Private Sector,546,Scottish Borders,2010/11
2011-03-31,S12000026,All Adults,Voluntary or Not for Profit Sector,126,Scottish Borders,2010/11
2011-03-31,S12000027,All Adults,All Sectors,171,Shetland Islands,2010/11
2011-03-31,S12000027,All Adults,Local Authority/Health Board Sectors,155,Shetland Islands,2010/11
2011-03-31,S12000027,All Adults,Private Sector,0,Shetland Islands,2010/11
2011-03-31,S12000027,All Adults,Voluntary or Not for Profit Sector,16,Shetland Islands,2010/11
2011-03-31,S12000028,All Adults,All Sectors,1043,South Ayrshire,2010/11
2011-03-31,S12000028,All Adults,Local Authority/Health Board Sectors,60,South Ayrshire,2010/11
2011-03-31,S12000028,All Adults,Private Sector,831,South Ayrshire,2010/11
2011-03-31,S12000028,All Adults,Voluntary or Not for Profit Sector,152,South Ayrshire,2010/11
2011-03-31,S12000029,All Adults,All Sectors,2848,South Lanarkshire,2010/11
2011-03-31,S12000029,All Adults,Local Authority/Health Board Sectors,277,South Lanarkshire,2010/11
2011-03-31,S12000029,All Adults,Private Sector,2163,South Lanarkshire,2010/11
2011-03-31,S12000029,All Adults,Voluntary or Not for Profit Sector,408,South Lanarkshire,2010/11
2011-03-31,S12000030,All Adults,All Sectors,723,Stirling,2010/11
2011-03-31,S12000030,All Adults,Local Authority/Health Board Sectors,78,Stirling,2010/11
2011-03-31,S12000030,All Adults,Private Sector,417,Stirling,2010/11
2011-03-31,S12000030,All Adults,Voluntary or Not for Profit Sector,228,Stirling,2010/11
2011-03-31,S12000033,All Adults,All Sectors,2019,Aberdeen City,2010/11
2011-03-31,S12000033,All Adults,Local Authority/Health Board Sectors,162,Aberdeen City,2010/11
2011-03-31,S12000033,All Adults,Private Sector,1342,Aberdeen City,2010/11
2011-03-31,S12000033,All Adults,Voluntary or Not for Profit Sector,515,Aberdeen City,2010/11
2011-03-31,S12000034,All Adults,All Sectors,2068,Aberdeenshire,2010/11
2011-03-31,S12000034,All Adults,Local Authority/Health Board Sectors,306,Aberdeenshire,2010/11
2011-03-31,S12000034,All Adults,Private Sector,1497,Aberdeenshire,2010/11
2011-03-31,S12000034,All Adults,Voluntary or Not for Profit Sector,265,Aberdeenshire,2010/11
2011-03-31,S12000035,All Adults,All Sectors,695,Argyll and Bute,2010/11
2011-03-31,S12000035,All Adults,Local Authority/Health Board Sectors,106,Argyll and Bute,2010/11
2011-03-31,S12000035,All Adults,Private Sector,506,Argyll and Bute,2010/11
2011-03-31,S12000035,All Adults,Voluntary or Not for Profit Sector,83,Argyll and Bute,2010/11
2011-03-31,S12000036,All Adults,All Sectors,3318,City of Edinburgh,2010/11
2011-03-31,S12000036,All Adults,Local Authority/Health Board Sectors,551,City of Edinburgh,2010/11
2011-03-31,S12000036,All Adults,Private Sector,2080,City of Edinburgh,2010/11
2011-03-31,S12000036,All Adults,Voluntary or Not for Profit Sector,687,City of Edinburgh,2010/11
2011-03-31,S12000038,All Adults,All Sectors,1518,Renfrewshire,2010/11
2011-03-31,S12000038,All Adults,Local Authority/Health Board Sectors,190,Renfrewshire,2010/11
2011-03-31,S12000038,All Adults,Private Sector,1270,Renfrewshire,2010/11
2011-03-31,S12000038,All Adults,Voluntary or Not for Profit Sector,58,Renfrewshire,2010/11
2011-03-31,S12000039,All Adults,All Sectors,620,West Dunbartonshire,2010/11
2011-03-31,S12000039,All Adults,Local Authority/Health Board Sectors,199,West Dunbartonshire,2010/11
2011-03-31,S12000039,All Adults,Private Sector,415,West Dunbartonshire,2010/11
2011-03-31,S12000039,All Adults,Voluntary or Not for Profit Sector,6,West Dunbartonshire,2010/11
2011-03-31,S12000040,All Adults,All Sectors,1023,West Lothian,2010/11
2011-03-31,S12000040,All Adults,Local Authority/Health Board Sectors,154,West Lothian,2010/11
2011-03-31,S12000040,All Adults,Private Sector,784,West Lothian,2010/11
2011-03-31,S12000040,All Adults,Voluntary or Not for Profit Sector,85,West Lothian,2010/11
2011-03-31,S12000041,All Adults,All Sectors,1149,Angus,2010/11
2011-03-31,S12000041,All Adults,Local Authority/Health Board Sectors,128,Angus,2010/11
2011-03-31,S12000041,All Adults,Private Sector,955,Angus,2010/11
2011-03-31,S12000041,All Adults,Voluntary or Not for Profit Sector,66,Angus,2010/11
2011-03-31,S12000042,All Adults,All Sectors,1256,Dundee City,2010/11
2011-03-31,S12000042,All Adults,Local Authority/Health Board Sectors,157,Dundee City,2010/11
