financial_year,council_area,sector,main_client_group,number_of_places
2010/11,Aberdeenshire,All Sectors,Mental Health Problems,12
2010/11,Aberdeenshire,All Sectors,Older People Aged 65 and Older,1860
2010/11,Aberdeenshire,All Sectors,Other Groups,0
2010/11,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2010/11,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,306
2010/11,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,277
2010/11,Aberdeenshire,Private Sector,All Adults,1497
2010/11,Aberdeenshire,Private Sector,Older People Aged 65 and Older,1471
2010/11,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,265
2010/11,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,112
2010/11,Angus,All Sectors,All Adults,1149
2010/11,Angus,All Sectors,Learning Disabilities,87
2010/11,Angus,All Sectors,Mental Health Problems,0
2010/11,Angus,All Sectors,Older People Aged 65 and Older,1062
2010/11,Angus,All Sectors,Other Groups,0
2010/11,Angus,All Sectors,Physical and Sensory Impairment,0
2010/11,Angus,Local Authority/Health Board Sectors,All Adults,128
2010/11,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,106
2010/11,Angus,Private Sector,All Adults,955
2010/11,Angus,Private Sector,Older People Aged 65 and Older,890
2010/11,Angus,Voluntary or Not for Profit Sector,All Adults,66
2010/11,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,66
2010/11,Argyll and Bute,All Sectors,All Adults,695
2010/11,Argyll and Bute,All Sectors,Learning Disabilities,23
2010/11,Argyll and Bute,All Sectors,Mental Health Problems,0
2010/11,Argyll and Bute,All Sectors,Older People Aged 65 and Older,672
2010/11,Argyll and Bute,All Sectors,Other Groups,0
2010/11,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2010/11,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,106
2010/11,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,99
2010/11,Argyll and Bute,Private Sector,All Adults,506
2010/11,Argyll and Bute,Private Sector,Older People Aged 65 and Older,494
2010/11,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,83
2010/11,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,79
2010/11,City of Edinburgh,All Sectors,All Adults,3318
2010/11,City of Edinburgh,All Sectors,Learning Disabilities,183
2010/11,City of Edinburgh,All Sectors,Mental Health Problems,53
2010/11,City of Edinburgh,All Sectors,Older People Aged 65 and Older,3011
2010/11,City of Edinburgh,All Sectors,Other Groups,28
2010/11,City of Edinburgh,All Sectors,Physical and Sensory Impairment,43
2010/11,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,551
2010/11,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,509
2010/11,City of Edinburgh,Private Sector,All Adults,2080
2010/11,City of Edinburgh,Private Sector,Older People Aged 65 and Older,2061
2010/11,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,687
2010/11,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,441
2010/11,Clackmannanshire,All Sectors,All Adults,321
2010/11,Clackmannanshire,All Sectors,Learning Disabilities,74
2010/11,Clackmannanshire,All Sectors,Mental Health Problems,25
2010/11,Clackmannanshire,All Sectors,Older People Aged 65 and Older,222
2010/11,Clackmannanshire,All Sectors,Other Groups,0
2010/11,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2010/11,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,52
2010/11,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,52
2010/11,Clackmannanshire,Private Sector,All Adults,217
2010/11,Clackmannanshire,Private Sector,Older People Aged 65 and Older,170
2010/11,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,52
2010/11,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2010/11,Dumfries and Galloway,All Sectors,All Adults,1277
2010/11,Dumfries and Galloway,All Sectors,Learning Disabilities,68
2010/11,Dumfries and Galloway,All Sectors,Mental Health Problems,84
2010/11,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,1120
2010/11,Dumfries and Galloway,All Sectors,Other Groups,0
2010/11,Dumfries and Galloway,All Sectors,Physical and Sensory Impairment,5
2010/11,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,13
2010/11,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2010/11,Dumfries and Galloway,Private Sector,All Adults,964
2010/11,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,865
2010/11,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,300
2010/11,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,255
2010/11,Dundee City,All Sectors,All Adults,1256
2010/11,Dundee City,All Sectors,Learning Disabilities,108
2010/11,Dundee City,All Sectors,Mental Health Problems,59
2010/11,Dundee City,All Sectors,Older People Aged 65 and Older,1077
2010/11,Dundee City,All Sectors,Other Groups,0
2010/11,Dundee City,All Sectors,Physical and Sensory Impairment,12
2010/11,Dundee City,Local Authority/Health Board Sectors,All Adults,157
2010/11,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,132
2010/11,Dundee City,Private Sector,All Adults,1008
2010/11,Dundee City,Private Sector,Older People Aged 65 and Older,859
2010/11,Dundee City,Voluntary or Not for Profit Sector,All Adults,91
2010/11,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,86
2010/11,East Ayrshire,All Sectors,All Adults,1003
2010/11,East Ayrshire,All Sectors,Learning Disabilities,58
2010/11,East Ayrshire,All Sectors,Mental Health Problems,25
2010/11,East Ayrshire,All Sectors,Older People Aged 65 and Older,910
2010/11,East Ayrshire,All Sectors,Other Groups,0
2010/11,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2010/11,East Ayrshire,Local Authority/Health Board Sectors,All Adults,20
2010/11,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,10
2010/11,East Ayrshire,Private Sector,All Adults,983
2010/11,East Ayrshire,Private Sector,Older People Aged 65 and Older,900
2010/11,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2010/11,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2010/11,East Dunbartonshire,All Sectors,All Adults,609
2010/11,East Dunbartonshire,All Sectors,Learning Disabilities,21
2010/11,East Dunbartonshire,All Sectors,Mental Health Problems,68
2010/11,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,498
2010/11,East Dunbartonshire,All Sectors,Other Groups,0
2010/11,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,22
2010/11,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2010/11,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2010/11,East Dunbartonshire,Private Sector,All Adults,586
2010/11,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,496
2010/11,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,12
2010/11,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,2
2010/11,East Lothian,All Sectors,All Adults,684
2010/11,East Lothian,All Sectors,Learning Disabilities,14
2010/11,East Lothian,All Sectors,Mental Health Problems,0
2010/11,East Lothian,All Sectors,Older People Aged 65 and Older,650
2010/11,East Lothian,All Sectors,Other Groups,0
2010/11,East Lothian,All Sectors,Physical and Sensory Impairment,20
2010/11,East Lothian,Local Authority/Health Board Sectors,All Adults,148
2010/11,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,148
2010/11,East Lothian,Private Sector,All Adults,473
2010/11,East Lothian,Private Sector,Older People Aged 65 and Older,466
2010/11,East Lothian,Voluntary or Not for Profit Sector,All Adults,63
2010/11,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,36
2010/11,East Renfrewshire,All Sectors,All Adults,633
2010/11,East Renfrewshire,All Sectors,Learning Disabilities,10
2010/11,East Renfrewshire,All Sectors,Mental Health Problems,0
2010/11,East Renfrewshire,All Sectors,Older People Aged 65 and Older,623
2010/11,East Renfrewshire,All Sectors,Other Groups,0
2010/11,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2010/11,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2010/11,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2010/11,East Renfrewshire,Private Sector,All Adults,392
2010/11,East Renfrewshire,Private Sector,Older People Aged 65 and Older,392
2010/11,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,207
2010/11,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,197
2010/11,Falkirk,All Sectors,All Adults,1126
2010/11,Falkirk,All Sectors,Learning Disabilities,109
2010/11,Falkirk,All Sectors,Mental Health Problems,45
2010/11,Falkirk,All Sectors,Older People Aged 65 and Older,972
2010/11,Falkirk,All Sectors,Other Groups,0
2010/11,Falkirk,All Sectors,Physical and Sensory Impairment,0
2010/11,Falkirk,Local Authority/Health Board Sectors,All Adults,184
2010/11,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,150
2010/11,Falkirk,Private Sector,All Adults,870
2010/11,Falkirk,Private Sector,Older People Aged 65 and Older,773
2010/11,Falkirk,Voluntary or Not for Profit Sector,All Adults,72
2010/11,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,49
2010/11,Fife,All Sectors,All Adults,2974
2010/11,Fife,All Sectors,Learning Disabilities,93
2010/11,Fife,All Sectors,Mental Health Problems,32
2010/11,Fife,All Sectors,Older People Aged 65 and Older,2832
2010/11,Fife,All Sectors,Other Groups,0
2010/11,Fife,All Sectors,Physical and Sensory Impairment,17
2010/11,Fife,Local Authority/Health Board Sectors,All Adults,368
2010/11,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,354
2010/11,Fife,Private Sector,All Adults,2467
2010/11,Fife,Private Sector,Older People Aged 65 and Older,2396
2010/11,Fife,Voluntary or Not for Profit Sector,All Adults,139
2010/11,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,82
2010/11,Glasgow City,All Sectors,All Adults,4984
2010/11,Glasgow City,All Sectors,Learning Disabilities,79
2010/11,Glasgow City,All Sectors,Mental Health Problems,300
2010/11,Glasgow City,All Sectors,Older People Aged 65 and Older,4346
2010/11,Glasgow City,All Sectors,Other Groups,187
2010/11,Glasgow City,All Sectors,Physical and Sensory Impairment,72
2010/11,Glasgow City,Local Authority/Health Board Sectors,All Adults,611
2010/11,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,597
2010/11,Glasgow City,Private Sector,All Adults,3418
2010/11,Glasgow City,Private Sector,Older People Aged 65 and Older,3376
2010/11,Glasgow City,Voluntary or Not for Profit Sector,All Adults,955
2010/11,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,373
2010/11,Highland,All Sectors,All Adults,2173
2010/11,Highland,All Sectors,Learning Disabilities,138
2010/11,Highland,All Sectors,Mental Health Problems,93
2010/11,Highland,All Sectors,Older People Aged 65 and Older,1868
2010/11,Highland,All Sectors,Other Groups,15
2010/11,Highland,All Sectors,Physical and Sensory Impairment,59
2010/11,Highland,Local Authority/Health Board Sectors,All Adults,280
2010/11,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,264
2010/11,Highland,Private Sector,All Adults,1610
2010/11,Highland,Private Sector,Older People Aged 65 and Older,1403
2010/11,Highland,Voluntary or Not for Profit Sector,All Adults,283
2010/11,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,201
2010/11,Inverclyde,All Sectors,All Adults,898
2010/11,Inverclyde,All Sectors,Learning Disabilities,42
2010/11,Inverclyde,All Sectors,Mental Health Problems,9
2010/11,Inverclyde,All Sectors,Older People Aged 65 and Older,774
2010/11,Inverclyde,All Sectors,Other Groups,0
2010/11,Inverclyde,All Sectors,Physical and Sensory Impairment,73
2010/11,Inverclyde,Local Authority/Health Board Sectors,All Adults,3
2010/11,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,3
2010/11,Inverclyde,Private Sector,All Adults,577
2010/11,Inverclyde,Private Sector,Older People Aged 65 and Older,577
2010/11,Inverclyde,Voluntary or Not for Profit Sector,All Adults,318
2010/11,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,194
2010/11,Midlothian,All Sectors,All Adults,673
2010/11,Midlothian,All Sectors,Learning Disabilities,76
2010/11,Midlothian,All Sectors,Mental Health Problems,0
2010/11,Midlothian,All Sectors,Older People Aged 65 and Older,597
2010/11,Midlothian,All Sectors,Other Groups,0
2010/11,Midlothian,All Sectors,Physical and Sensory Impairment,0
2010/11,Midlothian,Local Authority/Health Board Sectors,All Adults,145
2010/11,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,145
2010/11,Midlothian,Private Sector,All Adults,411
2010/11,Midlothian,Private Sector,Older People Aged 65 and Older,406
2010/11,Midlothian,Voluntary or Not for Profit Sector,All Adults,117
2010/11,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,46
2010/11,Moray,All Sectors,All Adults,645
2010/11,Moray,All Sectors,Learning Disabilities,31
2010/11,Moray,All Sectors,Mental Health Problems,5
2010/11,Moray,All Sectors,Older People Aged 65 and Older,609
2010/11,Moray,All Sectors,Other Groups,0
2010/11,Moray,All Sectors,Physical and Sensory Impairment,0
2010/11,Moray,Local Authority/Health Board Sectors,All Adults,6
2010/11,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4
2010/11,Moray,Private Sector,All Adults,549
2010/11,Moray,Private Sector,Older People Aged 65 and Older,549
2010/11,Moray,Voluntary or Not for Profit Sector,All Adults,90
2010/11,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,56
2010/11,Na h-Eileanan Siar,All Sectors,All Adults,219
2010/11,Na h-Eileanan Siar,All Sectors,Learning Disabilities,11
2010/11,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2010/11,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,208
2010/11,Na h-Eileanan Siar,All Sectors,Other Groups,0
2010/11,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2010/11,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,142
2010/11,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,131
2010/11,Na h-Eileanan Siar,Private Sector,All Adults,40
2010/11,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2010/11,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,37
2010/11,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2010/11,North Ayrshire,All Sectors,All Adults,1331
2010/11,North Ayrshire,All Sectors,Learning Disabilities,101
2010/11,North Ayrshire,All Sectors,Mental Health Problems,8
2010/11,North Ayrshire,All Sectors,Older People Aged 65 and Older,1180
2010/11,North Ayrshire,All Sectors,Other Groups,6
2010/11,North Ayrshire,All Sectors,Physical and Sensory Impairment,36
2010/11,North Ayrshire,Local Authority/Health Board Sectors,All Adults,48
2010/11,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,48
2010/11,North Ayrshire,Private Sector,All Adults,1161
2010/11,North Ayrshire,Private Sector,Older People Aged 65 and Older,1064
2010/11,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,122
2010/11,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2010/11,North Lanarkshire,All Sectors,All Adults,2058
2010/11,North Lanarkshire,All Sectors,Learning Disabilities,40
2010/11,North Lanarkshire,All Sectors,Mental Health Problems,80
2010/11,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1914
2010/11,North Lanarkshire,All Sectors,Other Groups,0
2010/11,North Lanarkshire,All Sectors,Physical and Sensory Impairment,24
2010/11,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,140
